round,strategy,dataset,cost,f1,ece
18,CAL-Log,yahoo_answers_topics,29.057021015561897,0.39383851435515516,0.2841911315917969
19,CAL-Log,yahoo_answers_topics,31.03747400860042,0.3950439790989477,0.3007017970085144
20,CAL-Log,yahoo_answers_topics,33.05392262037518,0.18248272463275103,0.11029259860515594
21,CAL-Log,yahoo_answers_topics,35.10837320131629,0.38698567841964854,0.3089815378189087
22,CAL-Log,yahoo_answers_topics,37.20325169390528,0.23568092059656376,0.2175203263759613
23,CAL-Log,yahoo_answers_topics,39.382170112609835,0.24962431626060386,0.18656156957149506
24,CAL-Log,yahoo_answers_topics,41.6302211623619,0.474731936029122,0.35188576579093933
25,CAL-Log,yahoo_answers_topics,43.98058988431446,0.4100981184950573,0.32125359773635864
26,CAL-Log,yahoo_answers_topics,46.35445027410467,0.42362876276826994,0.3180150091648102
27,CAL-Log,yahoo_answers_topics,48.81139817964148,0.4376646711274451,0.27722302079200745
28,CAL-Log,yahoo_answers_topics,51.38696386922336,0.5303445503895234,0.34402912855148315
29,CAL-Log,yahoo_answers_topics,54.11022522934589,0.5559031028618736,0.23963390290737152
30,CAL-Log,yahoo_answers_topics,56.61158650303539,0.4855422391902737,0.3843315839767456
31,CAL-Log,yahoo_answers_topics,59.42369388183419,0.5759414034092695,0.30611515045166016
